review,label
"Pelayanan sangat ramah dan kamar bersih, saya pasti akan kembali!","positive"
"AC di kamar tidak dingin dan staf kurang membantu.","negative"
"Hotel biasa saja, tidak buruk tapi juga tidak istimewa.","neutral"
"Sarapan enak dan variasinya banyak, lokasi juga strategis.","positive"
"Tidak sesuai dengan foto, kamar sempit dan bau asap rokok.","negative"
"Staf resepsionis sopan dan cepat tanggap.","positive"
"Check-in lama dan lift sering rusak, kurang memuaskan.","negative"
"Tempat tidurnya nyaman, tapi suara dari luar kamar cukup mengganggu.","neutral"
"Harga terjangkau dan fasilitas oke, cocok untuk liburan keluarga.","positive"
"Layanan buruk, tidak akan menginap di sini lagi.","negative"
"Kamar luas dan bersih, staf sangat membantu.",positive
"Fasilitas lengkap dan nyaman, sangat puas!",positive
"Sangat direkomendasikan untuk liburan keluarga.",positive
"Tempat strategis, dekat dengan pusat perbelanjaan.",positive
"Kolam renang bersih dan pelayanan cepat.",positive
"Wi-Fi kencang dan suasana tenang, cocok untuk WFH.",positive
"Staff ramah dan proses check-in cepat.",positive
"Kamar mandi kotor dan air panas tidak berfungsi.",negative
"Tidak bisa tidur karena suara bising dari luar.",negative
"Staf kurang profesional dan lama dalam melayani.",negative
"Harga tidak sebanding dengan kualitas hotelnya.",negative
"Sarapan mengecewakan, rasanya hambar.",negative
"Parkir sempit dan tidak aman.",negative
"Tidak ada air mineral gratis, sangat disayangkan.",negative
"Pengalaman menginap biasa saja, sesuai ekspektasi.",neutral
"Tidak ada yang spesial, tapi juga tidak mengecewakan.",neutral
"Cukup oke untuk singgah semalam.",neutral
"Check-in dan check-out berjalan lancar.",neutral
"Hotel standar dengan fasilitas yang cukup.",neutral
"Tidak terlalu bagus, tapi sesuai dengan harganya.",neutral
"Kamar sesuai deskripsi, tidak lebih tidak kurang.",neutral
"Kamar standar, tidak ada yang istimewa tapi cukup bersih.","neutral"
"Pelayanan cukup baik, meski tidak terlalu cepat.","neutral"
"Hanya menginap semalam, semua berjalan biasa saja.","neutral"
"Fasilitas cukup lengkap, tapi tidak terlalu memukau.","neutral"
"Check-in lancar, kamar sesuai deskripsi.","neutral"
"Sarapan cukup, tidak buruk tapi juga tidak enak.","neutral"
"Lokasi hotel cukup strategis, tapi tidak terlalu dekat dengan atraksi.","neutral"
"Tempat tidur nyaman, tapi dinding agak tipis.","neutral"
"Tidak ada masalah berarti selama menginap.","neutral"
"Interior hotel sederhana, tidak mewah.","neutral"
"Proses pelayanan sesuai standar, tidak lebih tidak kurang.","neutral"
"Tempat parkir tersedia, meski tidak terlalu luas.","neutral"
"Kamar tidak sempit, tapi juga tidak luas.","neutral"
"Pelayanan kamar dilakukan tepat waktu.","neutral"
"Ada fasilitas gym tapi tidak terlalu lengkap.","neutral"

